Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Chevrolet,Cobalt,2022,II рестайлинг (2016—2023),,,,,Не битый,1.5 MT (106 л.с.),1.5 л,Бензин,Механика,Передний,LT,Седан,Серый,Левый,MX1J*************,,1 500 000
Chevrolet,Niva,2004,I (2002—2009),259193 км,Проверить в Автотеке,Оригинал,3,Не битый,1.7 MT (80 л.с.) 4WD,1.7 л,Бензин,Механика,Полный,LC,Внедорожник 5-дверный,Золотой,Левый,X9L2*************,Возможен,390 000
Chevrolet,Cruze,2013,I рестайлинг (2012—2015),160774 км,25 записей в отчёте Автотеки,,2,Не битый,1.8 MT (141 л.с.),1.8 л,Бензин,Механика,Передний,,Седан,Серый,Левый,XUFJ*************,,753 500
Chevrolet,Aveo,2013,II (2011—2020),85100 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Серебряный,Левый,XUUT*************,Возможен,839 000
Chevrolet,Captiva,2012,I рестайлинг (2011—2013),169620 км,11 записей в отчёте Автотеки,,4+,Не битый,2.4 4WD AT (167 л.с.),2.4 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Бежевый,Левый,XUUC*************,,1 320 000
Chevrolet,Trax,2017,I рестайлинг (2016—2023),167000 км,5 записей в отчёте Автотеки,Электронный,2,Не битый,1.4 AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Base,Внедорожник 5-дверный,Синий,Левый,3GNC*************,Не интересует,1 400 000
Chevrolet,Lacetti,2011,I (2004—2013),200383 км,8 записей в отчёте Автотеки,,3,Не битый,1.6 AT (109 л.с.),1.6 л,Бензин,Автомат,Передний,,Хетчбек 5-дверный,Серебряный,Левый,XUUN*************,,535 000
Chevrolet,Aveo,2010,I рестайлинг (2006—2012),162000 км,16 записей в отчёте Автотеки,,4+,Не битый,1.2 MT (84 л.с.),1.2 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XUUS*************,Не интересует,375 000
Chevrolet,Niva,2013,I рестайлинг (2009—2023),130000 км,Проверить в Автотеке,,1,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,L,Внедорожник 5-дверный,Фиолетовый,Левый,X9L2*************,,470 000
Chevrolet,Lacetti,2011,I (2004—2013),196698 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,Premium,Универсал,Белый,Левый,XUUN*************,Возможен,557 000
Chevrolet,Aveo,2014,II (2011—2020),107000 км,5 записей в отчёте Автотеки,,2,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,LTZ,Седан,Серый,Левый,XUFT*************,,799 000
Chevrolet,Monza,2023,II рестайлинг (2022—2023),2 км,,Электронный,1,Не битый,1.5 AMT (113 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Седан,Чёрный,Левый,LSGK*************,Возможен,2 230 000
Chevrolet,Niva,2013,I рестайлинг (2009—2023),149000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,GL,Внедорожник 5-дверный,Серебряный,Левый,X9L2*************,Не интересует,528 000
Chevrolet,Cruze,2013,I рестайлинг (2012—2015),148000 км,8 записей в отчёте Автотеки,,3,Не битый,1.8 AT (141 л.с.),1.8 л,Бензин,Автомат,Передний,LT,Седан,Белый,Левый,XUFJ*************,,860 000
Chevrolet,Aveo,2007,I (2003—2008),138062 км,4 записи в отчёте Автотеки,Оригинал,4+,Не битый,1.2 MT (72 л.с.),1.2 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,XUUS*************,Не интересует,350 000
Chevrolet,Niva,2005,I (2002—2009),158000 км,4 записи в отчёте Автотеки,,4+,Не битый,1.7 MT (80 л.с.) 4WD,1.7 л,Бензин,Механика,Полный,L,Внедорожник 5-дверный,Серебряный,Левый,X9L2*************,,219 000
Chevrolet,Niva,2015,I рестайлинг (2009—2023),130093 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,Bertone Edition,Внедорожник 5-дверный,Чёрный,Левый,X9L2*************,,720 000
Chevrolet,Lacetti,2009,I (2004—2013),86058 км,4 записи в отчёте Автотеки,Дубликат,2,Не битый,1.4 MT (94 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Голубой,Левый,XUUN*************,,550 000
Chevrolet,Niva,2015,I рестайлинг (2009—2023),150001 км,2 записи в отчёте Автотеки,,1,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серебряный,Левый,X9L2*************,,646 990
Chevrolet,Lacetti,2009,I (2004—2013),220000 км,3 записи в отчёте Автотеки,Оригинал,3,Не битый,1.4 MT (94 л.с.),1.4 л,Бензин,Механика,Передний,SX,Седан,Серебряный,Левый,XUUN*************,Не интересует,468 000
Chevrolet,Tracker,2021,IV (2019—2023),41 км,,,1,Не битый,1.0 T AT (116 л.с.),1 л,Бензин,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,LSGE*************,,2 250 000
Chevrolet,TrailBlazer,2013,II (2012—2016),81000 км,16 записей в отчёте Автотеки,Дубликат,3,Не битый,2.8 D 4WD AT (180 л.с.),2.8 л,Дизель,Автомат,Полный,LT,Внедорожник 5-дверный,Чёрный,Левый,XUF1*************,Не интересует,1 730 000
Chevrolet,Aveo,2010,I рестайлинг (2006—2012),113706 км,19 записей в отчёте Автотеки,,4+,Не битый,1.4 MT (101 л.с.),1.4 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Красный,Левый,XUUS*************,,569 000
Chevrolet,Niva,2020,I рестайлинг (2009—2023),40000 км,4 записи в отчёте Автотеки,Электронный,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,SE,Внедорожник 5-дверный,Зелёный,Левый,X9L2*************,Не интересует,850 000
Chevrolet,TrailBlazer,2013,II (2012—2016),174919 км,18 записей в отчёте Автотеки,,3,Не битый,2.8 D 4WD MT (180 л.с.),2.8 л,Дизель,Механика,Полный,LT,Внедорожник 5-дверный,Чёрный,Левый,XUF1*************,,1 399 000
Chevrolet,Cruze,2013,I рестайлинг (2012—2015),164512 км,14 записей в отчёте Автотеки,,3,Не битый,1.4 AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,LTZ,Седан,Чёрный,Левый,XUFJ*************,,749 000
Chevrolet,Cruze,2011,I (2009—2012),174800 км,3 записи в отчёте Автотеки,,2,Не битый,1.6 AT (109 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Белый,Левый,XUFJ*************,,950 000
Chevrolet,Cruze,2011,I (2009—2012),200000 км,14 записей в отчёте Автотеки,,4+,Не битый,1.6 AT (109 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,XUFJ*************,Не интересует,695 000
Chevrolet,Niva,2014,I рестайлинг (2009—2023),129000 км,Проверить в Автотеке,,1,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,GL,Внедорожник 5-дверный,Серебряный,Левый,X9L2*************,,659 000
Chevrolet,Epica,2011,I рестайлинг (2008—2012),157000 км,3 записи в отчёте Автотеки,,4+,Не битый,2.0 AT (143 л.с.),2 л,Бензин,Автомат,Передний,LT,Седан,Чёрный,Левый,XUUL*************,,850 000
