Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Geely,MK,2013,I (2006—2013),185000 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,1.5 MT (94 л.с.),1.5 л,Бензин,Механика,Передний,Comfort,Седан,Белый,Левый,X9W2*************,Не интересует,230 000
Geely,Coolray,2020,I (2019—2023),45000 км,Проверить в Автотеке,,1,Не битый,1.5 AMT (150 л.с.),1.5 л,Бензин,Робот,Передний,Flagship,Внедорожник 5-дверный,Синий,Левый,Y4K8*************,,2 228 000
Geely,Monjaro,2023,I (2021—2023),15 км,Проверить в Автотеке,Электронный,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Синий,Левый,LB37*************,,3 895 000
Geely,Monjaro,2023,I (2021—2023),12 км,,Электронный,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Exclusive,Внедорожник 5-дверный,Зелёный,Левый,LB37*************,Возможен,3 650 000
Geely,Monjaro,2023,I (2021—2023),1 км,,Электронный,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Зелёный,Левый,LB37*************,Не интересует,3 650 000
Geely,Boyue L,2023,I (2022—2023),15 км,,Электронный,1,Не битый,1.5T DCT (181 л.с.),1.5 л,Бензин,Робот,Передний,Base,Внедорожник 5-дверный,Чёрный,Левый,L6T7*************,Не интересует,3 195 000
Geely,Coolray,2023,I (2019—2023),25 км,Проверить в Автотеке,Оригинал,1,Не битый,1.5 AMT (150 л.с.),1.5 л,Бензин,Робот,Передний,Flagship Sport,Внедорожник 5-дверный,Серый,Левый,Y4K8*************,,3 984 000
Geely,Monjaro,2023,I (2021—2023),10 км,,,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Flagship,Внедорожник 5-дверный,Серый,Левый,LB37*************,Возможен,3 750 000
Geely,Coolray,2023,I (2019—2023),9 км,,Электронный,1,Не битый,1.5 AMT (177 л.с.),1.5 л,Бензин,Робот,Передний,Flagship Sport,Внедорожник 5-дверный,Белый,Левый,LB37*************,Возможен,2 850 000
Geely,Monjaro,2023,I (2021—2023),1 км,,Электронный,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Flagship,Внедорожник 5-дверный,Синий,Левый,LB37*************,Не интересует,3 700 000
