Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Kia,Sportage,2011,III (2010—2014),156000 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Luxe SE,Внедорожник 5-дверный,Синий,Левый,XWEP*************,Не интересует,1 440 000
Kia,Cerato,2021,IV (2018—2021),31000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 AT (128 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Серебряный,Левый,XWEF*************,Не интересует,2 299 999
Kia,Ceed,2014,JD (2012—2015),115314 км,6 записей в отчёте Автотеки,,2,Не битый,1.6 AT (129 л.с.),1.6 л,Бензин,Автомат,Передний,Comfort,Хетчбек 3-дверный,Чёрный,Левый,XWEH*************,,1 727 171
Kia,Carnival,2016,III (2014—2021),97000 км,Проверить в Автотеке,,1,Не битый,2.2 CRDi AT (202 л.с.),2.2 л,Дизель,Автомат,Передний,Базовая,Минивэн,Белый,Левый,KNAM*************,Возможен,2 039 000
Kia,Rio,2017,IV (2017—2020),119522 км,2 записи в отчёте Автотеки,,1,Не битый,1.4 MT (100 л.с.),1.4 л,Бензин,Механика,Передний,,Седан,Серый,Левый,Z94C*************,,1 325 000
Kia,Sportage,2018,IV рестайлинг (2018—2023),86000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 MPI 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Prestige,Внедорожник 5-дверный,Красный,Левый,XWEP*************,Возможен,2 249 000
Kia,Sorento,2016,II рестайлинг (2012—2021),170216 км,6 записей в отчёте Автотеки,,2,Не битый,2.4 4WD AT (175 л.с.),2.4 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Серый,Левый,XWEK*************,,2 299 000
Kia,Rio,2018,IV (2017—2020),75000 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 AT (100 л.с.),1.4 л,Бензин,Автомат,Передний,Comfort,Седан,Красный,Левый,Z94C*************,Возможен,1 463 000
Kia,Sportage,2017,IV (2015—2018),73000 км,5 записей в отчёте Автотеки,Электронный,1,Не битый,2.4 4WD AT (184 л.с.),2.4 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Красный,Левый,KNDP*************,,2 460 000
Kia,Spectra,2007,I рестайлинг 2 (2004—2011),100000 км,28 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AT (101 л.с.),1.6 л,Бензин,Автомат,Передний,Standard,Седан,Золотой,Левый,XWKF*************,Не интересует,356 000
Kia,Optima,2018,IV (2015—2018),108000 км,16 записей в отчёте Автотеки,Оригинал,1,Не битый,2.4 AT (188 л.с.),2.4 л,Бензин,Автомат,Передний,Luxe,Седан,Белый,Левый,XWEG*************,Не интересует,2 370 000
