Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ВАЗ (LADA),Kalina,2013,I (2004—2013),140000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Универсал,Бежевый,Левый,XTA1*************,Не интересует,380 000
ВАЗ (LADA),4x4 (Нива),2019,I (1977—2019),90000 км,Проверить в Автотеке,Оригинал,1,Не битый,1.7 4WD MT (83 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 3-дверный,Чёрный,Левый,XTA2*************,Не интересует,740 000
ВАЗ (LADA),4x4 (Нива),2019,I (1977—2019),18500 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.7 4WD MT (83 л.с.),1.7 л,Бензин,Механика,Полный,Standard,Внедорожник 5-дверный,Коричневый,Левый,XTA2*************,Не интересует,820 000
ВАЗ (LADA),Granta,2013,I (2011—2018),200000 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Бежевый,Левый,XTA2*************,Не интересует,460 000
ВАЗ (LADA),Priora,2011,I (2007—2013),190000 км,11 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Sport,Седан,Серебряный,Левый,XTA2*************,Не интересует,295 000
ВАЗ (LADA),2112,2004,I (1999—2009),170000 км,9 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.5 MT (92 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Синий,Левый,XTA2*************,Возможен,130 000
ВАЗ (LADA),Granta,2012,I (2011—2018),235151 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,XTA2*************,Не интересует,370 000
ВАЗ (LADA),2112,2009,I (1999—2009),130500 км,5 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 3-дверный,Серебряный,Левый,XTA2*************,Не интересует,300 000
ВАЗ (LADA),Vesta,2019,I (2015—2023),77553 км,Проверить в Автотеке,Оригинал,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Коричневый,Левый,XTAG*************,Возможен,1 218 000
ВАЗ (LADA),Kalina,2015,II (2013—2018),58731 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Хетчбек 5-дверный,Бордовый,Левый,XTA2*************,Возможен,649 000
ВАЗ (LADA),Priora,2010,I (2007—2013),200000 км,14 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серый,Левый,XTA2*************,Не интересует,250 000
ВАЗ (LADA),2105,2011,I (1980—2011),53000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (73 л.с.),1.6 л,Бензин,Механика,Задний,Базовая,Седан,Серебряный,Левый,XTA2*************,Не интересует,218 000
ВАЗ (LADA),Kalina,2012,I (2004—2013),129000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Чёрный,Левый,XTA1*************,Не интересует,279 000
ВАЗ (LADA),2109,2001,I (1987—2011),176144 км,Проверить в Автотеке,Оригинал,1,Не битый,1.5 MT (78 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Серый,Левый,XTA2*************,Не интересует,110 000
ВАЗ (LADA),2114 Samara,2013,I (2001—2014),197000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Белый,Левый,X7Y2*************,Не интересует,210 000
ВАЗ (LADA),Largus,2020,I (2012—2023),88000 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe Prestige Glonass 7 мест,Универсал,Серый,Левый,XTAR*************,Не интересует,1 300 000
ВАЗ (LADA),Granta,2023,I рестайлинг (2018—2023),31 км,,Электронный,1,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Седан,Белый,Левый,XTA2*************,Не интересует,1 040 000
ВАЗ (LADA),Granta Cross,2020,I рестайлинг (2018—2023),45063 км,3 записи в отчёте Автотеки,,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Серый,Левый,XTA2*************,Возможен,927 000
ВАЗ (LADA),Granta,2017,I (2011—2018),110830 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Белый,Левый,XTA2*************,,420 000
ВАЗ (LADA),Priora,2010,I (2007—2013),198000 км,10 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XTA2*************,Не интересует,360 000
ВАЗ (LADA),Kalina,2012,I (2004—2013),161500 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Lux,Универсал,Бежевый,Левый,XTA1*************,Не интересует,399 000
ВАЗ (LADA),Kalina,2013,I (2004—2013),133500 км,7 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Красный,Левый,XTA1*************,Не интересует,369 000
ВАЗ (LADA),Granta,2019,I рестайлинг (2018—2023),123000 км,5 записей в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Красный,Левый,XTA2*************,,719 000
ВАЗ (LADA),2113 Samara,2012,I (2004—2013),180000 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 3-дверный,Чёрный,Левый,XTA2*************,Не интересует,310 000
ВАЗ (LADA),Kalina,2014,II (2013—2018),160673 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Коричневый,Левый,XTA2*************,,595 000
ВАЗ (LADA),Kalina,2005,I (2004—2013),160000 км,17 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Красный,Левый,XTA1*************,Не интересует,140 000
ВАЗ (LADA),2113 Samara,2008,I (2004—2013),200000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 3-дверный,Серебряный,Левый,XTA2*************,Не интересует,140 000
ВАЗ (LADA),21099,2002,I (1990—2011),249656 км,5 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.5 MT (78 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,XTA2*************,Возможен,65 500
ВАЗ (LADA),Kalina Cross,2015,II (2014—2018),137000 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Универсал,Белый,Левый,XTA2*************,Возможен,650 000
ВАЗ (LADA),Kalina,2014,II (2013—2018),101000 км,7 записей в отчёте Автотеки,,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Универсал,Серебряный,Левый,XTA2*************,,499 000
ВАЗ (LADA),Granta,2013,I (2011—2018),107069 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Зелёный,Левый,XTA2*************,,420 000
ВАЗ (LADA),Granta,2013,I (2011—2018),180000 км,9 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Luxe,Седан,Чёрный,Левый,XTA2*************,Не интересует,335 000
ВАЗ (LADA),2121 (4x4) Фора,2001,I рестайлинг (1996—2011),130000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,Стандарт,Внедорожник 3-дверный,Белый,Левый,XTA2*************,Возможен,195 000
ВАЗ (LADA),XRAY,2018,I (2015—2023),105000 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Comfort Light,Хетчбек 5-дверный,Коричневый,Левый,XTAG*************,,774 564
ВАЗ (LADA),Granta,2019,I рестайлинг (2018—2023),89148 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Универсал,Белый,Левый,XTA2*************,Не интересует,829 000
